Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
33,0,0,150,0,0,150,-117.556176,-28.68609,356.103503,106.391183,25.961606,419.208254,167.297369,40.82395,436.370634,205.376188,50.115954,384.518323,234.667588,57.263649,344.631929
34,0,0,150,0,0,150,-115.448234,-29.672829,357.15267,108.500103,27.887001,417.609336,169.406554,43.541347,434.051525,206.850017,53.165171,381.798592,235.652681,60.568112,341.604027
35,0,0,150,0,0,150,-113.300463,-30.620579,358.197947,110.580483,29.885477,415.967657,171.468606,46.341099,431.679084,208.262925,56.285129,379.026502,236.566246,63.934384,338.524516
36,0,0,150,0,0,150,-111.115714,-31.526379,359.237629,112.627293,31.955253,414.284416,173.477902,49.220132,429.2553,209.610117,59.471768,376.204691,237.404128,67.357642,335.396531
37,0,0,150,0,0,150,-108.896972,-32.387474,360.270067,114.635681,34.094246,412.560927,175.429081,52.175048,426.78229,210.887111,62.720759,373.335905,238.162519,70.832845,332.223301
38,0,0,150,0,0,150,-106.647341,-33.201319,361.293675,116.60099,36.300076,410.798614,177.317063,55.20213,424.2623,212.089755,66.027521,370.422995,238.83798,74.354745,329.008145
39,0,0,150,0,0,150,-104.37004,-33.965594,362.306932,118.518778,38.570079,408.999017,179.137076,58.297354,421.697702,213.214246,69.387235,367.468917,239.427453,77.917912,325.754468
40,0,0,150,0,0,150,-102.068391,-34.678212,363.30838,120.384838,40.90131,407.163787,180.88467,61.45641,419.09099,214.257144,72.794863,364.476729,239.928277,81.51675,322.465759
41,0,0,150,0,0,150,-99.745806,-35.337323,364.296635,122.195213,43.290559,405.294686,182.555741,64.674711,416.444784,215.215391,76.245169,361.449586,240.338199,85.14552,319.145588
42,0,0,150,0,0,150,-97.405778,-35.941327,365.270378,123.946211,45.734363,403.393584,184.146542,67.947417,413.76182,216.086324,79.732736,358.390739,240.655387,88.798365,315.7976
43,0,0,150,0,0,150,-95.051864,-36.488872,366.228364,125.634423,48.229021,401.462459,185.653706,71.269452,411.044953,216.867684,83.251993,355.30353,240.878436,92.469332,312.425512
