Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
0,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-154.293094,-0.000001,332.522988,56.405756,0.000000,445.336972,113.708790,0.000000,476.018599,162.482082,-0.000000,433.051566,200.000000,-0.000001,400.000002
1,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-153.147001,-1.336494,333.480816,58.459677,0.510170,444.567287,116.009610,1.012401,474.779088,164.464347,1.435258,431.455195,201.737221,1.760533,398.129124
2,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-151.983474,-2.652882,334.431521,60.500617,1.056042,443.783043,118.289177,2.064746,473.522996,166.419105,2.904856,429.844578,203.442127,3.551095,396.245795
3,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-150.802822,-3.948911,335.375066,62.528006,1.637354,442.984320,120.546850,3.156631,472.250435,168.345809,4.408290,428.219845,205.114239,5.371105,394.350161
4,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-149.605360,-5.224335,336.311413,64.541280,2.253831,442.171198,122.781997,4.287642,470.961516,170.243919,5.945048,426.581127,206.753090,7.219976,392.442366
5,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-148.391403,-6.478909,337.240528,66.539879,2.905194,441.343757,124.993994,5.457356,469.656351,172.112906,7.514611,424.928554,208.358223,9.097116,390.522556
6,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-147.161274,-7.712396,338.162373,68.523251,3.591152,440.502079,127.182222,6.665338,468.335054,173.952247,9.116451,423.262259,209.929189,11.001922,388.590878
7,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-145.915295,-8.924562,339.076913,70.490847,4.311405,439.646247,129.346073,7.911145,466.997740,175.761431,10.750029,421.582375,211.465552,12.933787,386.647480
8,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-144.653795,-10.115179,339.984112,72.442123,5.065647,438.776343,131.484946,9.194323,465.644523,177.539957,12.414803,419.889036,212.966888,14.892095,384.692508
9,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-143.377104,-11.284023,340.883935,74.376544,5.853561,437.892450,133.598247,10.514410,464.275519,179.287331,14.110219,418.182376,214.432779,16.876225,382.726113
10,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-142.085557,-12.430876,341.776348,76.293577,6.674823,436.994655,135.685392,11.870934,462.890847,181.003070,15.835716,416.462531,215.862823,18.885549,380.748441
11,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-140.779492,-13.555524,342.661316,78.192698,7.529101,436.083040,137.745804,13.263413,461.490622,182.686703,17.590729,414.729635,217.256626,20.919433,378.759644
12,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-139.459248,-14.657758,343.538803,80.073388,8.416052,435.157693,139.778917,14.691356,460.074965,184.337766,19.374680,412.983825,218.613805,22.977236,376.759872
13,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-138.125170,-15.737376,344.408777,81.935134,9.335329,434.218700,141.784170,16.154266,458.643993,185.955807,21.186988,411.225240,219.933990,25.058312,374.749276
14,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-136.777604,-16.794178,345.271203,83.777429,10.286575,433.266149,143.761015,17.651633,457.197829,187.540383,23.027063,409.454016,221.216820,27.162009,372.728006
15,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-135.416899,-17.827973,346.126048,85.599773,11.269424,432.300127,145.708910,19.182942,455.736592,189.091062,24.894310,407.670292,222.461949,29.287670,370.696216
16,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-134.043409,-18.838573,346.973279,87.401674,12.283504,431.320723,147.627325,20.747668,454.260404,190.607423,26.788126,405.874208,223.669037,31.434632,368.654057
17,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-132.657489,-19.825795,347.812862,89.182645,13.328436,430.328026,149.515735,22.345277,452.769388,192.089054,28.707901,404.065902,224.837761,33.602228,366.601682
18,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-131.259495,-20.789462,348.644766,90.942205,14.403830,429.322127,151.373630,23.975228,451.263668,193.535555,30.653020,402.245517,225.967805,35.789784,364.539247
19,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-129.849789,-21.729403,349.468958,92.679883,15.509294,428.303116,153.200505,25.636972,449.743368,194.946537,32.622862,400.413192,227.058868,37.996623,362.466903
20,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-128.428734,-22.645451,350.285406,94.395212,16.644423,427.271084,154.995867,27.329953,448.208611,196.321620,34.616798,398.569070,228.110660,40.222063,360.384807
21,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-126.996695,-23.537446,351.094078,96.087735,17.808809,426.226124,156.759233,29.053607,446.659526,197.660436,36.634196,396.713293,229.122901,42.465419,358.293114
22,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-125.554039,-24.405233,351.894943,97.756999,19.002036,425.168328,158.490127,30.807360,445.096236,198.962630,38.674417,394.846003,230.095325,44.726000,356.191978
23,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-124.101137,-25.248662,352.687969,99.402562,20.223680,424.097790,160.188087,32.590635,443.518870,200.227855,40.736817,392.967345,231.027676,47.003111,354.081556
24,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-122.638361,-26.067588,353.473127,101.023987,21.473311,423.014603,161.852659,34.402845,441.927556,201.455776,42.820747,391.077462,231.919712,49.296056,351.962005
25,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-121.166085,-26.861874,354.250385,102.620846,22.750494,421.918862,163.483400,36.243397,440.322423,202.646070,44.925552,389.176500,232.771202,51.604132,349.833482
26,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-119.684685,-27.631387,355.019713,104.192716,24.054784,420.810662,165.079876,38.111692,438.703598,203.798426,47.050574,387.264602,233.581926,53.926636,347.696144
27,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-118.194539,-28.375998,355.781082,105.739187,25.385733,419.690099,166.641665,40.007124,437.071213,204.912542,49.195148,385.341916,234.351679,56.262860,345.550150
28,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-116.696028,-29.095588,356.534461,107.259852,26.742885,418.557270,168.168355,41.929080,435.425398,205.988130,51.358609,383.408588,235.080265,58.612092,343.395656
29,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-115.189534,-29.790039,357.279823,108.754314,28.125778,417.412271,169.659544,43.876941,433.766285,207.024911,53.540282,381.464763,235.767502,60.973621,341.232823
