Step,J1 X,J1 Y,J1 Z,J2 X,J2 Y,J2 Z,J3 X,J3 Y,J3 Z,J4 X,J4 Y,J4 Z,J5 X,J5 Y,J5 Z,J6 X,J6 Y,J6 Z,Tip X,Tip Y,Tip Z
28,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-145.333521,-28.207835,337.625920,86.794581,16.845991,372.377858,149.925654,29.099124,381.829222,211.940733,41.135652,366.523928,259.644640,50.394520,354.750626
29,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-143.000910,-29.542374,339.206205,88.816376,18.348461,372.194294,151.862918,31.373165,381.165950,213.403821,44.086821,364.550289,260.742977,53.866556,351.769011
30,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-140.597689,-30.844211,340.792883,90.854245,19.931533,371.983037,153.801424,33.740836,380.465715,214.824747,47.128084,362.523148,261.765764,57.425967,348.721175
31,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-138.126459,-32.108234,342.382803,92.903508,21.595917,371.742954,155.735926,36.201648,379.727933,216.197591,50.256285,360.444410,262.706564,61.067544,345.610931
32,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-135.590069,-33.329514,343.972876,94.959439,23.342063,371.473000,157.661188,38.754836,378.952113,217.516668,53.467964,358.316094,263.559346,64.785755,342.442233
33,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-132.991620,-34.503328,345.560092,97.017282,25.170151,371.172218,159.572004,41.399340,378.137859,218.776555,56.759360,356.140338,264.318517,68.574761,339.219167
34,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-130.334453,-35.625175,347.141516,99.072271,27.080076,370.839747,161.463222,44.133806,377.284872,219.972113,60.126426,353.919390,264.978952,72.428441,335.945941
35,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-127.622146,-36.690796,348.714301,101.119645,29.071445,370.474828,163.329756,46.956574,376.392963,221.098512,63.564832,351.655610,265.536016,76.340415,332.626877
36,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-124.858498,-37.696197,350.275690,103.154666,31.143564,370.076806,165.166614,49.865675,375.462047,222.151255,67.069984,349.351466,265.985594,80.304068,329.266403
37,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-122.047524,-38.637667,351.823023,105.172636,33.295434,369.645139,166.968914,52.858829,374.492158,223.126195,70.637037,347.009525,266.324104,84.312582,325.869039
38,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-119.193435,-39.511788,353.353740,107.168923,35.525746,369.179396,168.731907,55.933444,373.483445,224.019558,74.260912,344.632455,266.548520,88.358964,322.439386
39,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-116.300628,-40.315459,354.865389,109.138973,37.832881,368.679266,170.450998,59.086613,372.436178,224.827955,77.936314,342.223013,266.656384,92.436083,318.982117
40,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-113.373666,-41.045908,356.355628,111.078337,40.214905,368.144558,172.121768,62.315126,371.350753,225.548405,81.657755,339.784043,266.645818,96.536701,315.501958
41,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-110.417260,-41.700702,357.822232,112.982687,42.669573,367.575209,173.739995,65.615464,370.227692,226.178341,85.419576,337.318468,266.515530,100.653508,312.003680
42,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-107.436251,-42.277761,359.263095,114.847840,45.194331,366.971280,175.301672,68.983813,369.067649,226.715624,89.215966,334.829285,266.264817,104.779161,308.492082
43,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-104.435588,-42.775368,360.676235,116.669775,47.786321,366.332965,176.803033,72.416070,367.871407,227.158554,93.040992,332.319556,265.893570,108.906317,304.971978
44,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-101.420310,-43.192176,362.059795,118.444656,50.442386,365.660588,178.240567,75.907853,366.639883,227.505873,96.888619,329.792400,265.402263,113.027669,301.448182
45,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-98.395519,-43.527214,363.412051,120.168846,53.159078,364.954607,179.611037,79.454513,365.374130,227.756773,100.752736,327.250989,264.791953,117.135984,297.925496
46,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-95.366360,-43.779889,364.731410,121.838934,55.932669,364.215614,180.911503,83.051147,364.075335,227.910892,104.627183,324.698538,264.064268,121.224134,294.408694
47,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-92.338000,-43.949995,366.016415,123.451744,58.759162,363.444338,182.139331,86.692615,362.744820,227.968320,108.505778,322.138297,263.221389,125.285134,290.902510
48,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-89.315601,-44.037703,367.265745,125.004358,61.634303,362.641644,183.292213,90.373552,361.384043,227.929593,112.382335,319.573546,262.266040,129.312168,287.411624
49,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-86.304301,-44.043569,368.478218,126.494128,64.553594,361.808531,184.368177,94.088388,359.994599,227.795688,116.250697,317.007585,261.201465,133.298626,283.940651
50,0.000000,0.000000,150.000000,0.000000,0.000000,150.000000,-83.309190,-43.968524,369.652789,127.918691,67.512312,360.946133,185.365604,97.831367,358.578214,227.568015,120.104753,314.443729,260.031408,137.238127,280.494125
